id;autors;fecha_nato
36332;Robin M. Frost;1906-12-04
36333;John Hartson;1963-10-12
36334;Emanuel;1970-09-12
36335;Lance A. Leventhal;1971-02-15
36336;Edmund Burke Feldman;1939-12-17
36337;Wolfgang Schneider;2018-03-02
36338;Cordell Hull;2005-01-02
36339;Robert H. Brinkmeyer, Jr.;1948-01-31
36340;Tony Hsieh;1988-03-04
36341;Stephen Prata;1978-08-04
36342;Nancy Morse;1904-01-25
36343;Natasha Crain;1918-02-19
36344;Heping Zhang;2014-01-23
36345;Nancy MacKay;1947-09-07
36346;Pattie Covert;1935-06-28
36347;Martha Freeman;1985-12-21
36348;Alok Vaid-Menon;1915-10-23
36349;Lucy Maria Boston;2003-05-24
36350;Sarah J. Robinson;1900-07-26
36351;Sue Ludwig;1974-08-04
36352;Edmund J. Goebel;2011-05-11
36353;Stefanie Wilder-Taylor;1911-11-16
36354;Eleanor Davies Tydings Ditzen;2002-05-20
36355;Arthur M. Schlesinger;1953-09-28
36356;Mary C. Grey;1946-07-27
36357;Samuel Sullivan Cox;1977-07-20
36358;Wowpooch Press;1925-05-08
36359;Harold Zirin;1971-04-03
36360;Pamela Merritt;1908-02-20
36361;Claus Scheiderer;1964-03-26
36362;Marissa Moss;1950-03-23
36363;Lynda Allison Doty;1958-12-12
36364;George Bartko;1904-06-23
36365;Paula Hyman;1919-04-23
36366;Dick Roth;2020-03-01
36367;Jerry Ruff;1988-02-24
36368;Walter Needham;2020-02-24
36369;John Duncklee;1968-07-04
36370;Mathew Wilson;1974-09-08
36371;Britta Pollmüller;1920-09-06
36372;Abraham Verghese;1923-07-16
36373;Ron Ross;1965-02-19
36374;TheOneRing.net (Firm);1904-02-12
36375;Marcus F. Franda;1961-12-31
36376;Kathryn Paulsen;1934-03-12
36377;Richard H. Gebhardt;1900-11-23
36378;Robert J. Hoss;1959-12-20
36379;C. Angela Todd;1906-09-05
36380;Rosamond Du Jardin;1971-07-29
36381;Yosef Ben-Jochannan;1941-07-24
36382;Sir Paul Harvey;1901-09-16
36383;Nevada Barr;1958-01-09
36384;Stephen Haines;1950-01-23
36385;George Everett Shaw;2016-05-07
36386;Nellie van de Grift Sánchez;1900-10-31
36387;Angelo Margaris;2020-04-18
36388;Judith Callard;1996-01-28
36389;Andy Wilson;1944-11-06
36390;Paul Monette;1975-12-25
36391;Nawawī;1973-10-21
36392;Jill M. Morgan;1947-12-14
36393;Colin Turnbull;1920-10-03
36394;Ben Stein;1901-02-10
36395;Filomena Doherty;1946-12-11
36396;Andrew Sears;1993-12-22
36397;Russ Gleeson;1950-04-22
36398;Rebecca Hagan Lee;1962-04-06
36399;John Francis Guilmartin;1991-11-12
36400;Trevor Schoonmaker;1984-11-13
36401;Mary Hirose;1996-12-19
36402;Denis de Rougemont;1993-05-20
36403;Bernard Gert;1970-10-06
36404;Bonnie Kroeger;1918-04-06
36405;Saint Bernard of Clairvaux;1931-03-24
36406;Catherine Z. Elgin;2013-05-23
36407;Vinny Lee;2014-10-28
36408;Raymond Charles Vincent Macario;1999-10-16
36409;Alfred Corrier;1980-07-25
36410;David Farrelly;1900-07-18
36411;Lian Dolan;1953-01-18
36412;Geri Keams;1914-04-21
36413;Doris Banowsky Arrington;1949-06-14
36414;Grant R. Jeffrey;2009-02-23
36415;Lisa Bevere;1973-05-13
36416;David Mumford;1927-10-14
36417;Fred Diehl;1985-07-05
36418;Daryl D. Green;1992-03-03
36419;Stephen Wynkoop;1972-07-25
36420;Molly Keane;1982-11-16
36421;Frederic William Farrar;1998-12-07
36422;Jane Divita Woody;1983-06-06
36423;Maryland Historical Trust;1983-11-16
36424;Walt Harrington;2020-10-18
36425;Richard Maschal;1930-07-26
36426;Mi Mi Khaing;1948-04-04
36427;Microsoft Official Academic Course;2013-11-04
36428;Jeane Dixon;2007-04-27
36429;King James Holy Bible;1942-12-05
36430;Levi Asher;1967-07-06
36431;Mario Szpuszta;1930-08-23
36432;T. Lobsang Rampa;1939-09-04
36433;Beth Richardson Gutcheon;1974-03-02
36434;Diane McClure Jones;1990-01-09
36435;Jane S. Fancher;1931-08-29
36436;M. Hedderick;1922-10-01
36437;Judy Martin;2005-06-20
36438;Donald E. Westlake;1904-06-22
36439;Joanna Martine Woolfolk;1972-10-15
36440;Bailey W. Diffie;1925-07-07
36441;Henry E. Bender;1951-11-11
36442;Nakaba Suzuki;1990-02-18
36443;Hermogenes;1931-10-13
36444;Vadim Korsh;1961-09-24
36445;Wallace Edgar;1971-05-31
36446;Pat J. Schulz;1955-04-20
36447;Joel Friedlander;1948-12-11
36448;Ella Fitzgerald;1903-05-19
36449;Antonio Vieyra;1916-07-30
36450;Kiki Thorpe;1938-02-27
36451;John Thomas Rogers;1923-05-07
36452;A. Franklin Parks;2011-11-01
36453;Lou Tice;1957-09-21
36454;C. S. Harris;1926-06-26
36455;Walter Thabit;1904-01-15
36456;Michael Morlan;1993-01-09
36457;Olive Schreiner;1978-03-24
36458;Gipsy Smith;1994-05-07
36459;Tom Brennan;1970-09-27
36460;A. Christine Harris;1978-06-07
36461;T. W. Graham Solomons;1984-01-28
36462;Steven Heller;1928-02-17
36463;Heart of Wisdom Publishing, Incorporated;2010-07-21
36464;William Cobbett;2003-06-19
36465;Timothy Brook;1981-09-25
36466;Moira F. Harris;1940-05-31
36467;Frederick Reif;2020-01-31
36468;Laura Dower;1955-02-08
36469;Joshua Palmatier;1910-01-04
36470;A. Sahib El-Radhi;1983-01-30
36471;Robert Grau;1944-10-17
36472;Ṣādiq ʻAnqā;1970-06-13
36473;Samir Amin;1957-08-25
36474;Helen McLeod;1956-03-31
36475;Antony Trew;1937-04-04
36476;Charonne Wali;1915-05-11
36477;David Veasey;1900-02-08
36478;Barbara Hocking;1945-04-29
36479;John C. Lennox;1955-08-12
36480;Timothy James McGee;1986-06-24
36481;Jory Farr;2019-02-05
36482;Brian Case;1908-05-27
36483;Lois Barclay Murphy;2020-04-02
36484;James A Cooney;1904-12-19
36485;Rachel L. McCormack;1908-02-06
36486;Jay Cassell;1994-05-23
36487;Gael D. Ulrich;2015-12-30
36488;Catherine Ellis;1937-01-13
36489;Stephen C. Barton;1925-07-18
36490;Kelly Oliver;1964-09-02
36491;Stewart Walton;2000-06-10
36492;Marilyn Joyce;1969-01-25
36493;Michael Horigan;1926-07-15
36494;Elizabeth Seifert;1933-03-28
36495;Donald Macleod;1944-04-26
36496;Barbara Illowsky;2017-06-09
36497;Ken Lizotte;1974-05-21
36498;Jean Withrow;1912-09-24
36499;L. S. Baker;1991-09-27
36500;Harlan LaFontaine;1981-08-11
36501;Denis McQuail;1950-07-09
36502;E. Valentine Daniel;1925-04-28
36503;Douglas H. Erwin;1942-05-04
36504;John M. Taylor;1981-07-07
36505;Marilyn Green;1934-08-06
36506;Lauren Sanders;1992-06-15
36507;William Creed;1942-06-01
36508;Dan Mitrione;1946-08-22
36509;Abhishek Kumar;1905-12-04
36510;Christian Parenti;1960-01-15
36511;Henry Pattillo;2014-09-18
36512;Amber Wolfe;1940-11-08
36513;Elma G. Farnsworth;1926-03-21
36514;Ian Urbina;2003-01-29
36515;Seymour Chatman;1938-10-23
36516;E. M. Cioran;1949-11-16
36517;Robert Devlin;1920-09-09
36518;Seth Whidden;1939-10-04
36519;Michael Bloch;2016-03-28
36520;E.F. Kaelin;1928-07-23
36521;Kong-sprul Blo-gros-mthaʼ-yas;1905-01-08
36522;Peter McIntyre;1976-11-29
36523;Dirk Smillie;1996-11-27
36524;Joanna K. M. Hanson;2011-02-08
36525;Gary Jobson;2013-03-17
36526;Lucille W. Van Vliet;1912-12-30
36527;Effiong Ibok;1962-10-25
36528;Martin L. Van Creveld;1900-11-30
36529;Elasah Drogin;1924-09-16
36530;Jack Kanholm;1963-01-17
36531;Alan M. Williams;1924-04-21
36532;Nancy Aniston;1938-04-20
36533;Inc Foundation Publications;1926-06-16
36534;Ira H. Abbott;1951-10-28
36535;Larry Utley;1907-07-22
36536;Roberto Refinetti;2003-03-06
36537;Lorenzo Lorraine Langstroth;2004-05-06
36538;Lou Marinoff;1931-12-04
36539;Marc H. Richman;1951-05-24
36540;Alberto Fuguet;1903-02-27
36541;Mario Pei;2012-02-20
36542;Judy Jones;1917-02-24
36543;Shane Jones;1931-01-17
36544;Mickey George;1982-08-14
36545;Cyril Hare;1991-12-14
36546;Marcos Pizarro;1974-10-06
36547;Neill Macaulay;1913-09-05
36548;Ross Lockridge;2003-06-21
36549;Peter Berkowitz;1920-12-01
36550;Ernest George Schwiebert;1981-01-23
36551;Louise Boudonnat;1992-01-20
36552;Quentin J. Schultze;1976-08-15
36553;Sarah Landy;1984-03-05
36554;David Breslow;2017-11-09
36555;John Case;1961-12-02
36556;Christine Vachon;1946-11-08
36557;Daniel Kaplan;1931-06-19
36558;Rosalind Kay Marshall;1912-09-07
36559;Chris Schlesinger;1996-02-03
36560;Maureen A. Buckley;2007-02-05
36561;Worrall Reed Carter;1994-03-15
36562;Jason Andrew;1971-06-12
36563;Preston M. Sprinkle;2001-08-11
36564;Mick Bennett;1991-06-24
36565;Judy Carter;2014-08-22
36566;Tsoṅ-kha-pa;2009-09-16
36567;Nick Neonakis;1987-01-25
36568;Gail Stewart;1906-10-04
36569;Prakash Tandon;1920-06-25
36570;Harold Isaacs;1992-05-28
36571;Werner G. Müller;1963-10-12
36572;Speros Vryonis;1990-10-01
36573;R. Scott Colglazier;1946-10-14
36574;Bob (Skipper.);1938-04-18
36575;Kevin Harney;1942-09-14
36576;Jay Warner;2021-10-09
36577;Scott R. Stahlecker;1930-01-30
36578;Ianir Milevski;1971-02-08
36579;Jim Reimann;1919-01-23
36580;C. Leon Wall;1941-07-14
36581;Bruce Newman;1979-05-23
36582;Jonathan Maberry;1990-05-13
36583;Mark Israel Smith-Soto;1915-10-29
36584;Johanna W. H. van Wijk-Bos;1912-02-15
36585;Alexis Gerard;1917-06-11
36586;Yoshiko Iwamoto Wada;1930-09-28
36587;Sir Robert Bruce Lockhart;1985-08-06
36588;C. Thomas Elkins;1992-07-13
36589;Elizabeth R. Baer;1909-12-19
36590;Maurie D. Pressman;1977-01-09
36591;Larry Sabato;1976-07-29
36592;Kivi Matias;1903-07-04
36593;Judy Sheindlin;2009-11-17
36594;Jeff Welsch;1966-01-16
36595;Neal Owens;1974-06-26
36596;Richard Wesley Hamming;1972-11-09
36597;Max Cutler;1906-09-04
36598;Lisa Taddeo;1991-08-14
36599;Márianna Csóti;1946-11-26
36600;Rosie Walsh;1928-08-16
36601;Arthur Nersesian;1962-04-15
36602;Beverage Testing Institute;1922-03-05
36603;Henry Bettenson;1908-06-04
36604;Sadie Chesterfield;1942-08-20
36605;Steven Babitsky;1953-07-13
36606;J. Leny;1942-05-03
36607;Geoffrey Hill;2016-06-02
36608;Terry Brotherstone;1900-11-22
36609;Maria J. Vlahos;1914-12-07
36610;Sharon Naylor;1991-07-23
36611;Wednesday Lee Friday;1910-11-29
36612;Elizabeth Berg;1947-12-30
36613;Byron W. Dalrymple;1925-08-22
36614;MS Karen Harper;1908-03-07
36615;Catherine Doyle;1933-10-18
36616;Peter Bebergal;1938-09-22
36617;Cheryl Harness;1922-11-11
36618;Sayyid Quṭb;1961-03-11
36619;Suzanne Strempek Shea;1955-03-04
36620;Shawnie M. Kelley;1990-06-30
36621;Pamela Clarke Keogh;1963-08-27
36622;Laurraine Goreau;1991-09-02
36623;Jorge Franco;2020-11-17
36624;William Baldwin;1947-11-01
36625;Leo Louis Martello;1921-08-12
36626;Frank Farmer Loomis;1920-11-25
36627;Michael T. Smith;2018-04-10
36628;Claude Thormalen;1966-02-03
36629;Bernard De Voto;1912-06-11
36630;Editors of Sunset Books;2003-11-28
36631;David Falkirk;2021-12-15
36632;Frederick M. Steingress;1911-03-15
36633;Arthur Stringer;2019-08-23
36634;Polly Horvath;1926-08-09
36635;Ralph Le Fevre;1962-08-05
36636;Duane H. Roen;1955-08-06
36637;Norman Pearl;1933-09-07
36638;Laurie M. Carlson;1935-05-03
36639;Leslie Shepard;1954-07-18
36640;Gayle Greeno;1935-07-10
36641;Jameson Currier;1921-02-24
36642;Jieun Kiaer;1907-05-10
36643;Marina Budhos;2018-04-27
36644;United States. Bureau of Naval Personnel;1925-07-04
36645;Joseph Gallian;1954-10-08
36646;Patrick S. Pasquariello;2017-08-29
36647;W. Dale Cramer;1947-05-24
36648;Simon J. Kistemaker;2012-10-12
36649;William James Entwistle;1946-09-13
36650;MaryJo McGraw;1924-04-28
36651;Jeff Gusky;1956-02-28
36652;Michael Robinson;1992-09-30
36653;Malcolm Cowley;1958-07-28
36654;Willie Nelson;2017-02-26
36655;David P. Belmont;1988-08-11
36656;Patrick Carey;1922-02-16
36657;Alan Rosenthal;1977-07-26
36658;Edward C. Stewart;1951-07-15
36659;Harold Leonard Levin;1919-06-04
36660;W. R. Morris;1955-11-18
36661;Barry H. Leeds;1973-01-13
36662;Gaetano Mosca;1973-02-12
36663;Joyce Lankester Brisley;1937-04-04
36664;Alfred G. Martin;1999-12-29
36665;Russell Plilar;1973-04-09
36666;Margaret Kessler;1977-04-08
36667;Lynne Edwards;1955-10-01
36668;Cherry Adair;2019-09-28
36669;Franklin W. Kemp;1986-06-05
36670;Jerry Parr;1938-01-18
36671;David Toussaint;1956-11-16
36672;Nina Garcia;1998-10-20
36673;Chris Ware;1935-01-03
36674;Henry Weinfield;1923-08-30
36675;Augustus Grimble;1914-01-12
36676;Jun Shao;1980-03-11
36677;Dave Gerr;1976-01-22
36678;Mark W. McClure;1942-05-17
36679;George Miller;1921-06-19
36680;Constance P. Jones;1943-08-26
36681;Joy Williams;1989-01-19
36682;Kurtis R. Schaeffer;1977-01-26
36683;Leslie Perlis;1960-12-09
36684;Shirley E. Held;1940-07-14
36685;Paul Bernabei;1936-05-14
36686;Peter Christen Asbj Rnsen;1901-01-20
36687;Penelope Neri;1994-05-17
36688;Irving W. Anderson;1912-05-27
36689;Joan Wexler;2012-07-01
36690;Sarah Masters Buckey;1971-12-05
36691;Herman Devillo Clarke;1918-03-12
36692;Albert E. Elsen;1993-05-07
36693;Bruce Kumar Frantzis;1973-02-14
36694;Barb Rogers;1992-04-03
36695;Henry Friedlander;1902-05-08
36696;Victor Hoagland;1930-05-10
36697;Brian Winston;1977-12-03
36698;Anthony Nutting;1943-06-22
36699;Virginia K. White;1987-11-08
36700;Andrew Gray;1927-07-09
36701;Sara Japhet;1942-04-03
36702;Norbert Elias;1917-09-25
36703;Lisa Simon;1985-05-27
36704;Diane Hoyt-Goldsmith;1935-07-10
36705;Karen Kaiser Clark;2002-04-24
36706;Lilianne Doukhan;2015-12-11
36707;Harry M. Brelsford;1966-08-25
36708;George Payne Bent;1993-05-09
36709;Blake Gopnik;1994-11-09
36710;Ta-Nehisi Coates;2006-11-28
36711;David L. Callies;1931-12-08
36712;Brian J. Cudahy;1972-02-03
36713;Steven Walker;1965-11-23
36714;William C. Crain;2021-02-27
36715;Lola Akinmade Åkerström;1906-12-08
36716;Ludwig Binswanger;1914-06-28
36717;Jeremy Mark;1958-12-03
36718;Nigel G. Tranter;1937-05-09
36719;Fay Sweet;2019-04-27
36720;Andria Williams;1930-09-20
36721;Jan Sovak;1959-07-13
36722;Phyllis Wagner;1934-04-14
36723;Carolyn Purnell;1926-06-12
36724;Joseph E. Inikori;1953-05-13
36725;Diann Floyd Boehm;1978-07-20
36726;Eliza Acton;1963-01-08
36727;V. John Alexandrov;1968-04-04
36728;Lenore Terr;1931-08-19
36729;Vicki Hearne;1974-11-01
36730;John McDonnell;1939-03-19
36731;Carlos Marrero;1912-04-08
36732;William York;1924-07-21
36733;Suzanne Barton;1951-09-19
36734;Christian Keyes;1939-07-10
36735;Antonia Darder;1907-07-20
36736;Carl Byron;1975-08-31
36737;Paul De Kruif;1901-03-06
36738;Angela Overy;2013-06-23
36739;Christopher S. Wren;1981-01-23
36740;Elisabeth Scotto;2009-01-11
36741;Gavin Baddeley;1994-07-19
36742;Richard Koo;1949-10-28
36743;Sara Perry;1906-06-02
36744;Charles Fritz;1963-10-11
36745;Sheri Bell-Rehwoldt;1942-06-18
36746;William K. Black;1948-12-20
36747;Deanne Spears;2001-08-06
36748;Charlie Price;2004-05-16
36749;Justin Wilson;1989-12-24
36750;Shōji Hamada;1927-10-07
36751;Elliott S. Barker;1981-08-01
36752;Steven Michael Wikert;1935-06-30
36753;Dan Boothby;2015-07-23
36754;Jeff McCullough;1914-05-02
36755;William J. Brotherton;1995-01-10
36756;Dominic Whiting;2003-09-30
36757;Hyacinthe Klose;1921-01-21
36758;Keith Hartman;2017-10-23
36759;Bob Roth;1961-07-13
36760;Scott Hagwood;2018-02-11
36761;John Finley Williamson;2021-11-20
36762;John L. Bull;1959-05-05
36763;Dean Meador Lambert;2013-09-12
36764;Ron Teeguarden;2013-10-20
36765;Hiram F. Gilbert;1996-07-24
36766;Michael Lanza;1903-10-31
36767;Donald Mccaig;2021-11-01
36768;Bruce Bekkar;1929-10-28
36769;Brian Vanden Brink;2005-10-24
36770;Amal Bhakta;2002-06-29
36771;Beth Fowler;1958-12-20
36772;John Knoepfle;1996-01-22
36773;George Swartz;1935-07-25
36774;Gustave Fredric Soderlund;2002-03-26
36775;Iftikhar Ahmad;1960-02-09
36776;Robert J. G. Savage;1943-06-15
36777;Michael Carter;1972-12-12
36778;Bill Ballew;1943-06-17
36779;Bart Harmannus Vanderveen;1931-04-05
36780;Brian Reade;1916-06-24
36781;Janet Louise Roberts;1979-03-05
36782;Cody Monk;1919-10-17
36783;Judith N. Cederberg;1919-01-05
36784;Frances Milton Trollope;1922-11-14
36785;Janet McDonald;1936-08-23
36786;Angela Wilkes;2010-12-13
36787;Charles Porterfield Krauth;1936-10-09
36788;Ted Niethamer;1972-05-04
36789;Lama Anagarika Govinda;1986-02-09
36790;Mary Quattlebaum;1971-12-04
36791;A. Roger Ekirch;1990-02-25
36792;Mary Erler;1969-01-17
36793;June Jamrich Parsons;2014-09-08
36794;Florence Peterson Kendall;1916-02-28
36795;Afton Fraser;1995-02-04
36796;John H. Saxon, Jr.;1962-06-02
36797;Edmund Dulac;2009-08-14
36798;Alistair G. Sutcliffe;2015-04-04
36799;Jonathan Yardley;1933-07-07
36800;Carl F. Walther;1993-04-08
36801;Janet Malcolm;2013-01-24
36802;K. DUDMAN;1974-09-13
36803;Catholic Church. Pope (1922-1939 : Pius XI);1996-02-14
36804;Emi Kazuko;1920-12-24
36805;Tom Perrotta;1995-02-06
36806;Rosie Sanders;1932-09-20
36807;Lynn Keller;1975-04-29
36808;Ann Heinrichs Tomchek;1975-02-25
36809;Michael Sidney Tyler-Whittle;2020-05-22
36810;Gary Courtney;2008-07-04
36811;Sid Campbell;1967-03-23
36812;William H. Miller;2017-12-21
36813;Rohini Chowdhury;1921-04-06
36814;Thomas E. Reiersgord;1972-09-24
36815;E. Randall Floyd;1909-05-05
36816;Leslie Elmer Sponsel;1993-06-01
36817;Mary Monica Pulver;1951-04-05
36818;Richard Sexton;1969-08-28
36819;Richard Lancelyn Green;1946-01-03
36820;Denis Hamill;1990-11-24
36821;Will Weaver;1913-07-29
36822;Hans Silvester;1924-03-24
36823;Fred Bowen;1980-11-14
36824;Louis Bouyer;2015-01-03
36825;Kate William;1980-02-29
36826;Ken Tanner;1942-02-01
36827;Reidar Oderth;1957-11-29
36828;Jimmy Kennedy;1962-10-11
36829;David Edwards;1957-10-29
36830;Terry Brooks;1955-01-21
36831;Lee Boltin;1965-01-12
36832;Robert Finch;1912-10-06
36833;Larry Lange;1937-02-22
36834;Rita J. Beron;1986-10-28
36835;George P. Upton;1977-09-17
36836;Valérie Thomas;1949-06-26
36837;Judith W. Page;1901-11-27
36838;Andres M. Lozano;2006-12-08
36839;"Avennes"", ""E. Prisse D";1980-01-27
36840;Publications International Ltd.;2003-10-12
36841;Ron Dalrymple;1935-02-11
36842;Virginia Laken;1910-10-02
36843;Pearce Hansen;1998-07-02
36844;Mary L. Boas;1954-09-29
36845;Hugh Walpole;1986-09-25
36846;Jacqueline Penney;2021-09-16
36847;Jamie Gilson;1901-01-12
36848;Cecil Forsyth;1933-12-02
36849;Radhika Sanghani;1988-08-05
36850;Frances Parker;1906-02-02
36851;Drāh Cenedive;2001-12-18
36852;George Jesse Taylor;1902-07-09
36853;Anthony Roberts;1980-06-19
36854;Hippocrene Books (NA);1997-01-30
36855;John Niven;1948-03-10
36856;David Dusek;2008-03-11
36857;Gerry Rosenfeld;2011-04-02
36858;Henry Rowe Schoolcraft;1939-09-13
36859;Jean Hwang;2012-04-23
36860;Thomas Holland;1996-06-05
36861;Gabriel H. Vaughn;1984-02-04
36862;Robert M. Entman;2004-03-12
36863;Gaurav Bhatnagar;2003-12-26
36864;Mark Graber;1935-04-25
36865;Virgil Hancock;1974-12-18
36866;Christian Lantuejoul;1977-04-12
36867;Arthur K. Yeung;1991-10-07
36868;Lymon C. Reese;1988-01-18
36869;Marcus Van Heller;1946-08-25
36870;Kim Rizk;2014-02-21
36871;Brendon C. W. Seeto;2006-07-31
36872;John Pym;1920-09-22
36873;Stewart M. Venit;1902-10-08
36874;Lady Violet Georgiana Powell;1917-07-02
36875;Peter S. Beagle;1941-08-22
36876;Douglas Ord;1937-10-12
36877;Chan S. Park;1975-11-16
36878;Scott Harrison;1966-03-28
36879;James Fahn;2014-04-25
36880;Jessica Zimmerman;1933-11-16
36881;William F. Lynch;1930-07-02
36882;Kevin Marx;1903-01-18
36883;Alice Bolster;1942-05-15
36884;Kim Heacox;1996-09-14
36885;ROSS D. CLARK, DVM;1922-01-06
36886;George Chryssis;1980-06-14
36887;Chris Williams;1947-01-31
36888;Paul L. McKenzie;1905-03-31
36889;Won W. Lee;2019-07-19
36890;Clyde Bedell;1994-10-11
36891;C. Thomas Howard;1983-07-18
36892;Judy B. Gilbert;1930-03-25
36893;Richard Tarnas;1907-04-20
36894;Michelle Olley;2017-06-10
36895;Edmund Blunden;1954-03-13
36896;Alex Varughese;1984-08-17
36897;Foundation Publication Inc;1963-09-13
36898;Paul Findley;2017-10-30
36899;Richard W. Hostrop;1987-08-02
36900;"Callaghan""]";1907-06-13
36901;Eric Verspoor;1946-07-14
36902;Ed Galing;1945-01-18
36903;Lobsang Tharchin (Sermey Khensur Rinpoche);2002-01-10
36904;Brendan Wenzel;1949-09-29
36905;Alex A. Lluch;1940-03-04
36906;Robert J. Wolff;1932-12-24
36907;Robert Edison Fulton;1968-11-29
36908;Brian Edwards;1903-03-21
36909;Andrew J. Blackbird;1975-10-16
36910;Jorge Ramos;1902-06-01
36911;Jack Pransky;1948-07-13
36912;Emma Chichester Clark;2011-09-12
36913;Adrian A. Paradis;1947-01-01
36914;Bill Shanahan;1995-11-26
36915;Janet G. Woititz;1914-07-14
36916;Ron Corcoran;1932-01-18
36917;Jamoo;1909-09-29
36918;Steve Fraser;1921-11-11
36919;Margery Facklam;1965-03-31
36920;David Bloomfield;2007-09-21
36921;Gustavo Gorriti;2016-04-27
36922;Lisa Hunt;2002-12-20
36923;David and Claudia Arp;1989-10-29
36924;Joey Perez;2007-04-17
36925;Anthony Glise;2011-08-11
36926;Gary D. Hachtel;1968-10-05
36927;Shealey Thedoshia;2014-03-31
36928;Isamu Noguchi;2016-10-24
36929;"Ramiro ""Ray."" Martinez";2015-11-24
36930;Ivan J. Kotzig;1966-08-28
36931;Jeffrey Feinman;1902-03-20
36932;Kathleen Flynn-Hui;1910-08-01
36933;Schmidt, Richard A.;1920-02-01
36934;C. J. Nappo;2015-07-13
36935;William F. Holtrop;2001-04-30
